Event ID,Session title,Session description,Session speakers,Session start time,Session end time
c1a1e2b0-1f2a-4e3b-9a1b-000000000001,Opening Keynote,Welcome and overview of the event,Jane Doe,2025-06-10T09:00,2025-06-10T09:45
c1a1e2b0-1f2a-4e3b-9a1b-000000000001,Modern Cloud Architectures,Trends and best practices in cloud design,John Smith,2025-06-10T10:00,2025-06-10T10:45
c1a1e2b0-1f2a-4e3b-9a1b-000000000001,AI in the Real World,Practical applications of AI in business,Emily Chen,2025-06-10T11:00,2025-06-10T11:45
c1a1e2b0-1f2a-4e3b-9a1b-000000000001,Securing Your Cloud,Security strategies for cloud deployments,Michael Brown,2025-06-10T12:00,2025-06-10T12:45
c1a1e2b0-1f2a-4e3b-9a1b-000000000001,Serverless Deep Dive,Building scalable apps with serverless,Anna Muller,2025-06-10T13:00,2025-06-10T13:45
c1a1e2b0-1f2a-4e3b-9a1b-000000000001,Data Science for Developers,How developers can leverage data science,David Kim,2025-06-10T14:00,2025-06-10T14:45
c1a1e2b0-1f2a-4e3b-9a1b-000000000001,DevOps Automation,Automating CI/CD pipelines,Olivia Garcia,2025-06-10T15:00,2025-06-10T15:45
c1a1e2b0-1f2a-4e3b-9a1b-000000000001,Building APIs with Node.js,Best practices for API development,Lucas Rossi,2025-06-10T16:00,2025-06-10T16:45
c1a1e2b0-1f2a-4e3b-9a1b-000000000001,Panel: The Future of Tech,Industry leaders discuss what's next,"Jane Doe, John Smith, Emily Chen",2025-06-10T17:00,2025-06-10T17:45
c1a1e2b0-1f2a-4e3b-9a1b-000000000001,Closing Remarks,Summary and event wrap-up,Michael Brown,2025-06-10T18:00,2025-06-10T18:30
7b2c3d4e-2a3b-5c6d-8e2c-000000000002,"React 18: What’s New?",Explore the latest features and improvements in React 18,Alex Turner,2025-07-15T09:00,2025-07-15T09:45
7b2c3d4e-2a3b-5c6d-8e2c-000000000002,Hooks in Depth,Advanced patterns and use cases for React Hooks,Sarah Lee,2025-07-15T10:00,2025-07-15T10:45
7b2c3d4e-2a3b-5c6d-8e2c-000000000002,State Management Showdown,"Comparing Redux, Zustand, and Recoil for state management",Chris Evans,2025-07-15T11:00,2025-07-15T11:45
7b2c3d4e-2a3b-5c6d-8e2c-000000000002,TypeScript with React,Best practices for using TypeScript in React projects,Emily Carter,2025-07-15T12:00,2025-07-15T12:45
7b2c3d4e-2a3b-5c6d-8e2c-000000000002,React Performance Tuning,Optimizing your React apps for speed and efficiency,Daniel Kim,2025-07-15T13:00,2025-07-15T13:45
7b2c3d4e-2a3b-5c6d-8e2c-000000000002,Testing React Applications,Modern tools and strategies for testing React apps,Olivia White,2025-07-15T14:00,2025-07-15T14:45
7b2c3d4e-2a3b-5c6d-8e2c-000000000002,React Native: Beyond Mobile,Building cross-platform apps with React Native,Michael Green,2025-07-15T15:00,2025-07-15T15:45
7b2c3d4e-2a3b-5c6d-8e2c-000000000002,Server Components in React,Introduction to React Server Components and SSR,Isabella Brown,2025-07-15T16:00,2025-07-15T16:45
7b2c3d4e-2a3b-5c6d-8e2c-000000000002,Building Design Systems with React,How to create scalable and reusable UI components,Lucas Martin,2025-07-15T17:00,2025-07-15T17:45
7b2c3d4e-2a3b-5c6d-8e2c-000000000002,Panel: The Future of React,Experts discuss the roadmap and community trends,"Alex Turner, Sarah Lee, Emily Carter",2025-07-15T18:00,2025-07-15T18:45
8c3d4e5f-3b4c-6d7e-9f3d-000000000003,Keynote: The Power of Python,Exploring Python's impact on technology and science,Dr. Alice Nguyen,2025-08-01T09:00,2025-08-01T09:45
8c3d4e5f-3b4c-6d7e-9f3d-000000000003,Modern Python Tooling,Best practices for managing Python projects,Mark Evans,2025-08-01T10:00,2025-08-01T10:45
8c3d4e5f-3b4c-6d7e-9f3d-000000000003,Asyncio in Action,Building high-performance async applications,Julia Park,2025-08-01T11:00,2025-08-01T11:45
8c3d4e5f-3b4c-6d7e-9f3d-000000000003,Type Hints and Static Analysis,How type hints improve code quality in Python,Samuel Lee,2025-08-01T12:00,2025-08-01T12:45
8c3d4e5f-3b4c-6d7e-9f3d-000000000003,Machine Learning with scikit-learn,Hands-on ML workflows in Python,Emily Zhao,2025-08-01T13:00,2025-08-01T13:45
8c3d4e5f-3b4c-6d7e-9f3d-000000000003,FastAPI for Modern APIs,Building fast and robust APIs with FastAPI,David Kim,2025-08-01T14:00,2025-08-01T14:45
8c3d4e5f-3b4c-6d7e-9f3d-000000000003,Data Visualization with Matplotlib,Creating compelling charts and plots in Python,Olivia Brown,2025-08-01T15:00,2025-08-01T15:45
8c3d4e5f-3b4c-6d7e-9f3d-000000000003,Python in the Cloud,Deploying and scaling Python apps on cloud platforms,Lucas Rossi,2025-08-01T16:00,2025-08-01T16:45
8c3d4e5f-3b4c-6d7e-9f3d-000000000003,Testing Strategies for Python,Effective testing with pytest and unittest,Isabella Green,2025-08-01T17:00,2025-08-01T17:45
8c3d4e5f-3b4c-6d7e-9f3d-000000000003,Panel: Python in Industry,Experts discuss Python's role in business,"Dr. Alice Nguyen, Mark Evans, Emily Zhao",2025-08-01T18:00,2025-08-01T18:45
8c3d4e5f-3b4c-6d7e-9f3d-000000000003,Python for Web Development,Modern web frameworks and techniques,Noah Carter,2025-08-02T09:00,2025-08-02T09:45
8c3d4e5f-3b4c-6d7e-9f3d-000000000003,Security Best Practices in Python,Writing secure Python code,Grace Lin,2025-08-02T10:00,2025-08-02T10:45
8c3d4e5f-3b4c-6d7e-9f3d-000000000003,Automating Everything with Python,How to automate tasks and workflows,Oscar Rivera,2025-08-02T11:00,2025-08-02T11:45
9d4e5f6a-4c5d-7e8f-0a4e-000000000004,Keynote: Empowering Developers,Microsoft's vision for the future of development,Satya Nadella,2025-05-20T09:00,2025-05-20T09:45
9d4e5f6a-4c5d-7e8f-0a4e-000000000004,Azure AI Innovations,Latest advancements in AI on Azure,Jessica Turner,2025-05-20T10:00,2025-05-20T10:45
9d4e5f6a-4c5d-7e8f-0a4e-000000000004,Building with .NET 8,Modern app development with .NET 8,Scott Hanselman,2025-05-20T11:00,2025-05-20T11:45
9d4e5f6a-4c5d-7e8f-0a4e-000000000004,Securing the Cloud,Best practices for cloud security,Anna Ivanova,2025-05-20T12:00,2025-05-20T12:45
9d4e5f6a-4c5d-7e8f-0a4e-000000000004,Power Platform in Action,Low-code solutions for every business,David Warner,2025-05-20T13:00,2025-05-20T13:45
9d4e5f6a-4c5d-7e8f-0a4e-000000000004,DevOps with GitHub,Streamlining CI/CD with GitHub Actions,Olivia Chen,2025-05-20T14:00,2025-05-20T14:45
9d4e5f6a-4c5d-7e8f-0a4e-000000000004,Modern Web Apps with Blazor,Building interactive web UIs in C#,Miguel Ramos,2025-05-20T15:00,2025-05-20T15:45
9d4e5f6a-4c5d-7e8f-0a4e-000000000004,Data & Analytics on Azure,Unlocking insights with Azure Synapse,Emily Zhang,2025-05-20T16:00,2025-05-20T16:45
9d4e5f6a-4c5d-7e8f-0a4e-000000000004,Panel: The Future of Microsoft Cloud,Leaders discuss the next decade,"Satya Nadella, Jessica Turner, Scott Hanselman",2025-05-20T17:00,2025-05-20T17:45
9d4e5f6a-4c5d-7e8f-0a4e-000000000004,Closing Remarks,Summary and key takeaways,Anna Ivanova,2025-05-20T18:00,2025-05-20T18:30
9d4e5f6a-4c5d-7e8f-0a4e-000000000004,Developing for Microsoft Teams,Building collaborative apps for Teams,Lucas Brown,2025-05-21T09:00,2025-05-21T09:45
9d4e5f6a-4c5d-7e8f-0a4e-000000000004,AI-Powered Productivity,Integrating Copilot and AI into workflows,Grace Lee,2025-05-21T10:00,2025-05-21T10:45
9d4e5f6a-4c5d-7e8f-0a4e-000000000004,Hybrid Cloud Strategies,Managing resources across on-prem and cloud,Oscar Rivera,2025-05-21T11:00,2025-05-21T11:45
